"寒い冬の日、
「寒かったー」と言いながら帰宅したら
母から
「はやく扇風機に当たりなさい！」
と言われました。
（ストーブで暖まりました）",扇風機
"母が新しい携帯を買ってきたのですが、
説明書を読むのがめんどくさくて
僕に読んでほしかったらしく、一言。
「悪いけど、アニマル読んで教えて！」
‥‥残念ながら動物の心は読めません。
（最近の携帯のマニュアルは分厚い）",アニマル
"朝の電車の放送で、
「閉まるドア」というべきところを
「閉まったドアへの駆け込み乗車は
　危険ですからお止めください」と。
そら、危険やわ。
（三楽）",閉まったドア
"今日のこと。見積を頼むのに、
「ここはアルミのバルコニーで」
と指定しようとして口から出た言葉は
「アルコニー」
でした‥‥。
（最近カミカミ）",「アルコニー」

"先日のニュースで、
犯人の普段の様子について
インタビューに答えていた人が、
「物腰の低い人でしたけどね～」。
腰が低いのか、物腰が柔らかいのか
わかりませんでした。
（まぁ、雰囲気はわかる）",物腰の低い人
"中学生の時、
昔のドラマの熱血教師に憧れていた担任が
ホームルーム中に激怒し、
大声で怒鳴った時の言葉です。
「お前達は、真剣さが足りん！
　ラベルが低い！」
（私達、ラベル貼り職人じゃないです）",ラベル
"家族みんなでテレビを見ていた時のことです。
最近、日本語が達者な外国人の方が
たくさんテレビに出てますよね。
みんなで感心していたとき、
わたしが何気なくひと言。
「なんでこんなに日本語パラパラなん？」
「言いまつがい」に気づかない私に妹が
「お姉ちゃん、
　日本語はチャーハンじゃないよ」と。
（シスター）",パラパラ
"営業をしています。
とても忙しくて、メールの返信をしながら、
転送されてきた電話をとりました。
手ではメールに
「申し訳ございません。」とタイピング。
口では
「お電話代わりました、
　山崎でございません！」
と言い切りました。
電話口のお客様はスルーしてくれましたが、
自分が耐えられず吹き出してしまい、
電話でも謝りました。笑って許してくれました。
（ごめんなさいばっかり）",山崎でございません！
"うちの母はペットボトルを考えた末に
「ポットベトル」
と言い間違えます。
理由を聞くと、
「ペットかポットかわからなくなって。
　ペットのわけないから
　きっとポットだろうと思っちゃうの」
とのこと。
「ベトルはないから、ボトルだと覚えて」
と覚え方を変えてもらいました。
（その後間違えなくなりました）",「ポットベトル」
