"妹が
「だてまたむせ？
　どてまさむね？」
と悩んでいます。しばらくして
「あ、どてまたむせ！」
ハイ、伊達政宗！！
（むすび丸）",「だてまたむせ？
				              　どてまさむね？」
"うちの母が先日言ったこと。
「『龍馬伝』に出てた
　フクシママサノリが‥‥‥‥」
母よ、幕末ですか戦国時代ですか。
（ｙｕｒｉ）",どてまたむせ！
"中学の塾帰り、車で迎えに来てくれた母に、
つい先ほど社会科で習った
「日本人の医学研究の歴史」について
熱く語っていました。
「野口英世と北里柴三郎が」
と言おうとしたら、
「野口英世と北島三郎が」
と言ってしまいました‥‥。
「なんで医学に演歌歌手が出てくんの」
と突っ込んだ母、あなたは正しかった。
（ｎ）",フクシママサノリ
"言いまつがいって、
口に出したら言った本人は
間違いに気づくものだと思ってました。
うちの旦那さまはカタカナ俳優名が苦手らしく、
何度も何度も
「キアリヌーブス、キアリヌーブス」
って言います。
今聞いてもそう答えるに違いない！
（こでまりこまり）",北島三郎
"今日、母が
「おぎやはぎ」のことを
「やはぎやおぎ」
と言いました。
（さくらえび）",「キアリヌーブス、キアリヌーブス」
"インド人の国民性について、
愛読書である『深夜特急』にあった
エピソードを引き合いに出そうとしたら、
「夜間‥‥」
と、いきなり言いまつがって
後が続かなくなりました。
オットに「夜間？」と促されて、
仕方なく、思いつくままに
「夜間‥‥寝台‥‥」
と言ってみた。なんじゃそら。
でもオットは、「ああ、沢木耕太郎の本な」
とわかってくれました。よくわかったなぁ。
（旅も睡眠第一で）",「やはぎやおぎ」
"映画化もされた、
『暗いところで待ち合わせ』
という小説があります。
うちの旦那がそれを
「『暗いところでこんにちは』
　ってさ‥‥」
と言い放ちました。
ミステリー小説が一気にポップな印象に！
息もできずに笑い転げる私に、
必死で弁解する旦那。
「『仄暗い水の底から』と
　混ざっちゃったんだよ！」
どっちにしろ「こんにちは」は
どこから来たんだ？
（仄暗い水の底からこんにちは）",「夜間‥‥」

"海外アニメについて
友達と話していた時のこと。
私「あの猫とネズミのアニメとか、
　　かわいいよねー！」
友「ジム＆キャリーでしょ？
　　おもしろいよねー！」
気付いたあとは大爆笑でした。
（２人で１人）",「夜間‥‥寝台‥‥」
