"４月で任期満了で役を退く
某教授が挨拶の冒頭で
「このたび、
　まんきにんりょうで‥‥」
と華麗な言いまつがいをなさいました。
（しゅくらん）",まんきにんりょう
"夫と娘と３人での外食中。
ご機嫌でひとりお酒を飲んでいた夫が、
「お酒、もう一本頼もうかなぁ‥‥」
と言いつつ、通りかかった店員さんに
「すいまぽん」と。
いくらなんでも略しすぎ。
（うろん）",「すいまぽん」
"夜遅く、勉強道具を広げたまま
パソコンで動画を見ているムスメに
「早く寝なさい」と言った後、
たたみかけるように
「寝ないんなら勉強しなさい」
と言おうとして、
「寝ないんなら起きてなさい」
と言ってしまいました。
（りかぽん）",起きてなさい
"旦那と『桃太郎』の話を
今、最初からちゃんと話せるか？
という話になりました。
「そのくらい覚えてるさ！」と自信満々の旦那。
さっそく話しはじめたのですが‥‥。
「あるーひ、あるひ」
言った本人も「ん？」という顔。
「むかーし、むかしじゃ‥‥」とつっこみ、
二人で大爆笑しました。
（ムーミン）",「あるーひ、あるひ」
"駅から遠い整骨院に勤務中。
患者様が治療後に
電車で隣町に向かうとの事で
「駅まではバスですか？」と聞きたかった。
出てきた言葉は
「電車までは駅ですか？」。
‥‥意味がわからない。
（エバ30代）",「電車までは駅ですか？」
"夕飯の支度をしている時に
やってしまいました。
「竹の子の煮物」があるから、
と言おうとして口から出たのは
「竹輪（ちくわ）の煮物」。
漢字ならかろうじて
一文字目は合っていますが、
音だけだとかすりもしません‥‥。
（ちょる）",竹輪（ちくわ）
"「さーて布団でも食べるか！」
と、さっき母が言ってました。
うどんが食べたかったらしいんですけど。
（スリーピー）",布団
"おばあちゃんが久しぶりに
我が家に遊びに来た日曜の夜。
みんなで食卓で
『サザエさん』を見てたところ、
ふと席を立った父を
おばあちゃんが呼び止めるべく
呼んだ名前は
「あ、ちょっと、カツオ！」。
（やんちゃな父）",カツオ！
"私の友人は、夕方に来られたお客様に
「こんにばんわ」
と言っていました。
微妙な時間帯なので、
何と言うべきか迷ったのでしょう。
（ｕ）",「こんにばんわ」

